ITEM_ID,ITEM_MEDIUM,ITEM_LENGTH
2070,TXT,471
2082,TXT,653
2111,IMG,311
2110,TXT,1149
2093,IMG,231
2114,IMG,146
2112,TXT,1074
2103,TXT,640
2104,IMG,275
2072,TXT,1301
2146,IMG,207
2073,TXT,541
2074,IMG,213
2084,TXT,501
2085,TXT,803
2089,TXT,281
2066,TXT,576
2067,IMG,155
2068,TXT,2026
2091,TXT,648
2151,TXT,554
2152,IMG,451
2087,TXT,624
2115,TXT,838
2117,IMG,105
2116,TXT,2188
2119,TXT,434
2095,IMG,117
2120,IMG,129
2121,IMG,103
2098,TXT,387
2099,TXT,807
2108,TXT,587
2118,TXT,635
2124,IMG,150
2125,IMG,128
2126,IMG,451
2063,TXT,494
2064,IMG,113
2122,IMG,139
2123,IMG,249
2076,TXT,402
2077,IMG,247
2096,TXT,514
2113,TXT,944
2079,TXT,542
2080,TXT,780
2147,IMG,155
2154,IMG,217
2150,IMG,312
2101,TXT,414
2148,IMG,130
2102,TXT,772
2106,TXT,558
2149,TXT,1047
2153,IMG,484
2155,TXT,1346
